id_trabajador,id_empresa,id_institucion,id_cargo,id_tipo_contrato,id_estado_contrato,sueldo_real,fecha_inicio,fecha_fin
1,,4,1,1,1,32000.0,2020-01-16,2020-04-30
1,,7,1,1,1,348000.0,2020-04-07,2020-12-31
1,,10,1,1,1,36000.0,2020-01-09,2020-12-31
1,,4,1,1,1,81150.0,2020-01-15,2020-02-29
1,,17,1,2,1,54000.0,2020-01-09,2020-12-31
1,,19,1,1,1,228190.0,2020-03-05,2020-07-31
1,,22,1,1,1,6000.0,2020-01-20,2020-06-30
1,,2,1,1,1,465600.0,2020-04-20,2021-04-19
1,,17,1,1,1,1171200.0,2020-05-14,2021-05-14
1,,30,1,2,1,26400.0,2020-01-06,2020-12-31
1,,35,1,1,1,160000.0,2020-02-20,2020-06-18
1,,4,1,1,1,34874.0,2020-02-06,2020-04-30
1,,4,1,1,1,56660.0,2020-01-14,2020-04-30
1,,42,1,2,1,15000.0,2020-01-02,2020-01-31
1,,17,1,2,1,48000.0,2020-01-09,2020-12-31
1,,4,1,1,1,46200.0,2020-01-16,2020-04-30
1,,49,1,1,1,393600.0,2020-02-18,2020-12-31
1,,52,1,1,1,60000.0,2020-03-11,2020-12-31
1,,17,1,2,1,180000.0,2020-01-10,2020-12-31
1,,42,1,2,1,45000.0,2020-01-02,2020-03-31
1,,4,1,1,1,77001.0,2020-01-28,2020-02-28
1,,56,1,1,1,60000.0,2020-01-20,2020-12-31
1,,42,1,2,1,45000.0,2020-01-02,2020-03-31
1,,59,1,1,1,3004730.0,2020-05-05,2020-12-15
1,,4,1,1,1,84126.0,2020-01-14,2020-04-30
1,,60,1,1,1,116510.4,2020-04-06,2020-12-31
1,,9,1,1,1,758160.0,2020-04-24,2020-12-31
1,,9,1,1,1,36000.0,2019-12-27,2020-12-31
1,,17,1,2,1,54000.0,2020-01-09,2020-12-31
1,,42,1,2,1,18000.0,2020-01-02,2020-03-31
1,,4,1,1,1,75330.0,2020-01-29,2020-04-28
1,,42,1,2,1,12000.0,2020-01-02,2020-01-31
1,,77,1,1,1,18000.0,2020-08-19,2020-12-31
1,,56,1,1,1,36000.0,2020-01-20,2020-12-31
1,,72,1,1,1,11848160.5,2022-05-16,2023-04-27
1,,17,1,1,1,48000.0,2020-01-23,2020-12-31
1,,86,1,1,1,860650.39,2020-04-02,2021-01-29
1,,42,1,2,1,18000.0,2020-01-02,2020-03-31
1,,52,1,1,1,57000.0,2020-02-07,2020-05-31
1,,26,1,1,1,500000.0,2020-05-25,2021-03-15
1,,22,1,1,1,9000.0,2020-01-20,2020-06-30
1,,77,1,1,1,60000.0,2020-01-21,2020-12-31
1,,4,1,1,1,67200.0,2020-02-06,2020-04-30
1,,3,1,1,1,2724998.8,2020-01-14,2020-09-10
1,,42,1,2,1,45000.0,2020-01-07,2020-03-31
1,,73,1,1,1,198000.0,2020-04-08,2021-02-28
1,,15,1,1,1,1229996.0,2020-06-23,2020-12-07
1,,17,1,1,1,60000.0,2020-01-24,2020-12-31
1,,15,1,1,1,505200.0,2020-05-25,2021-01-28
1,,30,1,2,1,6000.0,2019-12-30,2020-02-29
1,,94,1,1,1,18000.0,2020-01-13,2020-06-30
1,,42,1,2,1,45000.0,2020-01-02,2020-03-31
1,,4,1,1,1,78599.5,2020-02-04,2020-05-13
1,,42,1,2,1,24000.0,2020-01-07,2020-03-31
1,,4,1,1,1,80190.0,2020-01-28,2020-04-27
1,,42,1,2,1,30000.0,2020-01-02,2020-03-31
1,,30,1,2,1,51000.0,2019-12-30,2020-12-31
1,,100,1,2,1,48000.0,2020-01-13,2020-12-31
1,,4,1,1,1,78636.0,2020-01-14,2020-04-30
1,,4,1,1,1,89112.0,2020-01-14,2020-04-30
1,,77,1,1,1,675000.0,2020-01-16,2020-12-31
1,,4,1,1,1,88770.0,2020-01-10,2020-04-30
1,,42,1,2,1,30000.0,2020-01-08,2020-03-31
1,,15,1,1,1,443000.0,2020-02-28,2020-05-08
1,,94,1,1,1,15000.0,2020-01-15,2020-12-31
1,,94,1,1,1,85000.0,2020-03-23,2020-04-16
1,,4,1,1,1,48100.0,2020-01-14,2020-04-30
1,,4,1,1,1,50720.0,2020-01-16,2020-04-30
